code;nr;gebied;gebiednaam;provincie;WOZ;stedelijkheid;OAD;ligging;abw_totaal;abw_vrijst;abw_tweekap;abw_rijwoni;abw_meergez_laagb;abw_meergez_hoogb;abw_koop;abw_soc_huur;abw_part_huur;abw_1_pers;abw_2_pers;abw_3_pers;aapbw_totaal;aapbw_koop_vrijst;aapbw_koop_tweekap;aapbw_koop_rijwoni;aapbw_koop_meergez_laagb;aapbw_koop_meergez_hoogb;aapbw_soc_huur_vrijst;aapbw_soc_huur_tweekap;aapbw_soc_huur_rijwoni;aapbw_soc_huur_meergez_laagb;aapbw_soc_huur_meergez_hoogb;aapbw_part_huur_vrijst;aapbw_part_huur_tweekap;aapbw_part_huur_rijwoni;aapbw_part_meergez_laagb;aapbw_part_meergez_hoogb
GM0230;60;gemeente;Elburg;;250;4;671;;9200;22,0%;13,1%;53,8%;11,1%;0,0%;65,1%;26,9%;8,0%;26,8%;34,8%;38,4%;1,4;1,9;1,7;1,5;1,2;;;1,0;1,0;0,5;;1,5;1,3;1,1;0,6;
GM0232;61;gemeente;Epe;;287;4;747;;14200;33,6%;9,9%;39,1%;15,8%;1,6%;65,1%;28,0%;6,9%;29,8%;37,7%;32,6%;1,4;1,9;1,7;1,4;1,0;0,9;;1,1;1,0;0,5;1,1;1,5;1,2;1,1;0,7;0,7
GM0233;62;gemeente;Ermelo;;297;4;896;;11100;24,4%;12,4%;43,5%;18,9%;0,7%;64,3%;25,6%;10,0%;31,2%;35,1%;33,7%;1,3;1,9;1,6;1,5;1,0;0,5;;1,1;1,0;0,6;;1,4;1,1;1,0;0,7;0,6
GM0243;63;gemeente;Harderwijk;;258;2;1530;;20100;9,0%;6,2%;55,3%;25,9%;3,6%;60,2%;29,9%;9,9%;30,6%;33,3%;36,1%;1,2;1,9;1,6;1,5;1,0;1,0;;1,0;0,9;0,5;0,7;1,3;1,5;1,2;0,8;1,0
GM0244;64;gemeente;Hattem;;282;4;831;;5200;27,1%;12,8%;46,2%;13,9%;0,0%;67,6%;26,7%;5,7%;29,2%;36,0%;34,8%;1,3;1,7;1,6;1,4;1,0;;1,0;1,1;1,0;0,5;;1,1;0,9;0,8;0,7;
GM0246;65;gemeente;Heerde;;275;4;611;;7700;41,9%;15,8%;30,7%;11,2%;0,4%;69,4%;24,0%;6,6%;26,1%;39,1%;34,8%;1,4;1,8;1,7;1,5;0,9;;0,5;1,1;1,0;0,4;0,8;1,4;1,1;1,1;1,0;
GM0252;66;gemeente;Heumen;;280;4;798;;7100;24,4%;15,8%;43,7%;16,1%;0,0%;72,7%;19,3%;8,0%;29,4%;37,2%;33,4%;1,3;1,8;1,6;1,4;1,0;;0,6;0,9;1,0;0,6;;1,4;1,1;1,0;0,7;
GM0262;67;gemeente;Lochem;;303;4;588;;14800;38,6%;16,0%;34,0%;11,3%;0,1%;71,1%;19,3%;9,6%;30,2%;39,7%;30,0%;1,4;1,8;1,6;1,5;1,1;;1,1;0,9;0,9;0,6;;1,4;1,2;1,0;0,7;0,9
GM0263;68;gemeente;Maasdriel;;271;5;487;;10000;35,9%;17,4%;39,3%;7,4%;0,0%;71,5%;21,5%;7,1%;24,7%;36,8%;38,5%;1,6;2,0;1,8;1,6;1,3;;1,6;1,0;1,0;0,6;;1,5;1,0;1,2;1,0;
GM0267;69;gemeente;Nijkerk;;307;3;1117;;17100;17,5%;10,6%;56,9%;12,7%;2,3%;70,7%;23,2%;6,2%;26,4%;34,2%;39,4%;1,4;2,0;1,7;1,5;1,0;1,1;1,0;1,0;1,0;0,6;0,8;1,4;1,4;1,1;0,8;
GM0268;70;gemeente;Nijmegen;;233;2;2401;;79800;2,9%;3,9%;49,9%;30,7%;12,6%;44,1%;40,2%;15,7%;39,8%;31,3%;28,8%;0,9;1,7;1,4;1,3;1,0;1,0;1,4;0,8;0,8;0,5;0,5;2,2;1,0;1,0;0,6;0,7
GM0269;71;gemeente;Oldebroek;;262;4;641;;9100;34,5%;16,8%;40,8%;8,0%;0,0%;69,2%;23,4%;7,4%;23,9%;35,8%;40,4%;1,4;1,9;1,6;1,5;1,2;;;1,1;0,9;0,5;;1,5;1,3;1,2;0,8;
